Timestamp,Day,Total,Westbound,Eastbound
2015-06-28 18:00:00,Sunday,13,6,7
2015-06-28 19:00:00,Sunday,14,10,4
2015-06-28 20:00:00,Sunday,6,2,4
2015-06-28 21:00:00,Sunday,14,9,5
2015-06-28 22:00:00,Sunday,10,8,2
2015-06-28 23:00:00,Sunday,8,6,2
2015-06-29 00:00:00,Monday,0,0,0
2015-06-29 01:00:00,Monday,2,1,1
2015-06-29 02:00:00,Monday,0,0,0
2015-06-29 03:00:00,Monday,0,0,0
2015-06-29 04:00:00,Monday,1,0,1
2015-06-29 05:00:00,Monday,6,0,6
2015-06-29 06:00:00,Monday,42,5,37
2015-06-29 07:00:00,Monday,122,18,104
2015-06-29 08:00:00,Monday,288,34,254
2015-06-29 09:00:00,Monday,195,32,163
2015-06-29 10:00:00,Monday,64,18,46
2015-06-29 11:00:00,Monday,50,17,33
2015-06-29 12:00:00,Monday,43,16,27
2015-06-29 13:00:00,Monday,45,28,17
2015-06-29 14:00:00,Monday,39,19,20
2015-06-29 15:00:00,Monday,55,37,18
2015-06-29 16:00:00,Monday,98,83,15
2015-06-29 17:00:00,Monday,266,228,38
2015-06-29 18:00:00,Monday,227,196,31
2015-06-29 19:00:00,Monday,115,94,21
2015-06-29 20:00:00,Monday,77,64,13
2015-06-29 21:00:00,Monday,48,42,6
2015-06-29 22:00:00,Monday,39,32,7
2015-06-29 23:00:00,Monday,19,14,5
2015-06-30 00:00:00,Tuesday,7,6,1
2015-06-30 01:00:00,Tuesday,2,2,0
2015-06-30 02:00:00,Tuesday,2,2,0
2015-06-30 03:00:00,Tuesday,1,1,0
2015-06-30 04:00:00,Tuesday,0,0,0
2015-06-30 05:00:00,Tuesday,15,1,14
2015-06-30 06:00:00,Tuesday,42,6,36
2015-06-30 07:00:00,Tuesday,152,23,129
2015-06-30 08:00:00,Tuesday,317,47,270
2015-06-30 09:00:00,Tuesday,213,41,172
2015-06-30 10:00:00,Tuesday,89,19,70
2015-06-30 11:00:00,Tuesday,66,25,41
2015-06-30 12:00:00,Tuesday,62,25,37
2015-06-30 13:00:00,Tuesday,54,25,29
2015-06-30 14:00:00,Tuesday,48,28,20
2015-06-30 15:00:00,Tuesday,60,45,15
2015-06-30 16:00:00,Tuesday,129,93,36
2015-06-30 17:00:00,Tuesday,295,241,54
2015-06-30 18:00:00,Tuesday,278,228,50
2015-06-30 19:00:00,Tuesday,138,113,25
2015-06-30 20:00:00,Tuesday,69,62,7
2015-06-30 21:00:00,Tuesday,63,53,10
2015-06-30 22:00:00,Tuesday,43,40,3
2015-06-30 23:00:00,Tuesday,25,19,6
2015-07-01 00:00:00,Wednesday,11,7,4
2015-07-01 01:00:00,Wednesday,5,3,2
2015-07-01 02:00:00,Wednesday,1,1,0
2015-07-01 03:00:00,Wednesday,3,2,1
2015-07-01 04:00:00,Wednesday,2,2,0
2015-07-01 05:00:00,Wednesday,6,1,5
2015-07-01 06:00:00,Wednesday,43,8,35
2015-07-01 07:00:00,Wednesday,59,5,54
2015-07-01 08:00:00,Wednesday,72,3,69
2015-07-01 09:00:00,Wednesday,51,10,41
2015-07-01 10:00:00,Wednesday,33,6,27
2015-07-01 11:00:00,Wednesday,30,11,19
2015-07-01 12:00:00,Wednesday,31,15,16
2015-07-01 13:00:00,Wednesday,30,16,14
2015-07-01 14:00:00,Wednesday,36,22,14
2015-07-01 15:00:00,Wednesday,41,26,15
2015-07-01 16:00:00,Wednesday,79,54,25
2015-07-01 17:00:00,Wednesday,129,93,36
2015-07-01 18:00:00,Wednesday,124,98,26
2015-07-01 19:00:00,Wednesday,91,72,19
2015-07-01 20:00:00,Wednesday,46,30,16
2015-07-01 21:00:00,Wednesday,25,14,11
2015-07-01 22:00:00,Wednesday,24,23,1
2015-07-01 23:00:00,Wednesday,25,22,3
2015-07-02 00:00:00,Thursday,14,10,4
2015-07-02 01:00:00,Thursday,2,1,1
2015-07-02 02:00:00,Thursday,4,4,0
2015-07-02 03:00:00,Thursday,1,1,0
2015-07-02 04:00:00,Thursday,1,0,1
2015-07-02 05:00:00,Thursday,11,3,8
2015-07-02 06:00:00,Thursday,38,5,33
2015-07-02 07:00:00,Thursday,134,19,115
2015-07-02 08:00:00,Thursday,276,43,233
2015-07-02 09:00:00,Thursday,199,40,159
2015-07-02 10:00:00,Thursday,84,26,58
2015-07-02 11:00:00,Thursday,58,20,38
2015-07-02 12:00:00,Thursday,60,32,28
2015-07-02 13:00:00,Thursday,75,49,26
2015-07-02 14:00:00,Thursday,86,64,22
2015-07-02 15:00:00,Thursday,111,84,27
2015-07-02 16:00:00,Thursday,158,131,27
2015-07-02 17:00:00,Thursday,219,182,37
2015-07-02 18:00:00,Thursday,176,130,46
2015-07-02 19:00:00,Thursday,105,82,23
2015-07-02 20:00:00,Thursday,47,40,7
2015-07-02 21:00:00,Thursday,40,30,10
2015-07-02 22:00:00,Thursday,25,22,3
2015-07-02 23:00:00,Thursday,19,15,4
2015-07-03 00:00:00,Friday,18,12,6
2015-07-03 01:00:00,Friday,10,7,3
2015-07-03 02:00:00,Friday,7,6,1
2015-07-03 03:00:00,Friday,1,0,1
2015-07-03 04:00:00,Friday,2,2,0
2015-07-03 05:00:00,Friday,3,0,3
2015-07-03 06:00:00,Friday,16,0,16
2015-07-03 07:00:00,Friday,22,5,17
2015-07-03 08:00:00,Friday,47,13,34
2015-07-03 09:00:00,Friday,54,13,41
2015-07-03 10:00:00,Friday,49,20,29
2015-07-03 11:00:00,Friday,72,28,44
2015-07-03 12:00:00,Friday,42,18,24
2015-07-03 13:00:00,Friday,57,29,28
2015-07-03 14:00:00,Friday,59,33,26
2015-07-03 15:00:00,Friday,53,32,21
2015-07-03 16:00:00,Friday,58,30,28
2015-07-03 17:00:00,Friday,80,54,26
2015-07-03 18:00:00,Friday,60,33,27
2015-07-03 19:00:00,Friday,48,30,18
2015-07-03 20:00:00,Friday,30,19,11
2015-07-03 21:00:00,Friday,28,24,4
2015-07-03 22:00:00,Friday,33,28,5
2015-07-03 23:00:00,Friday,21,18,3
2015-07-04 00:00:00,Saturday,8,7,1
2015-07-04 01:00:00,Saturday,13,11,2
2015-07-04 02:00:00,Saturday,4,4,0
2015-07-04 03:00:00,Saturday,1,1,0
2015-07-04 04:00:00,Saturday,0,0,0
2015-07-04 05:00:00,Saturday,1,0,1
2015-07-04 06:00:00,Saturday,8,3,5
2015-07-04 07:00:00,Saturday,16,7,9
2015-07-04 08:00:00,Saturday,15,3,12
2015-07-04 09:00:00,Saturday,21,4,17
2015-07-04 10:00:00,Saturday,38,13,25
2015-07-04 11:00:00,Saturday,33,16,17
2015-07-04 12:00:00,Saturday,46,27,19
2015-07-04 13:00:00,Saturday,48,23,25
2015-07-04 14:00:00,Saturday,33,17,16
2015-07-04 15:00:00,Saturday,50,25,25
2015-07-04 16:00:00,Saturday,36,14,22
2015-07-04 17:00:00,Saturday,37,17,20
2015-07-04 18:00:00,Saturday,28,10,18
2015-07-04 19:00:00,Saturday,50,18,32
2015-07-04 20:00:00,Saturday,53,21,32
2015-07-04 21:00:00,Saturday,32,9,23
2015-07-04 22:00:00,Saturday,27,14,13
2015-07-04 23:00:00,Saturday,71,64,7
2015-07-05 00:00:00,Sunday,22,22,0
2015-07-05 01:00:00,Sunday,16,12,4
2015-07-05 02:00:00,Sunday,4,3,1
2015-07-05 03:00:00,Sunday,1,0,1
2015-07-05 04:00:00,Sunday,1,1,0
2015-07-05 05:00:00,Sunday,2,1,1
2015-07-05 06:00:00,Sunday,10,3,7
2015-07-05 07:00:00,Sunday,17,10,7
2015-07-05 08:00:00,Sunday,15,10,5
2015-07-05 09:00:00,Sunday,32,10,22
2015-07-05 10:00:00,Sunday,42,13,29
2015-07-05 11:00:00,Sunday,39,16,23
2015-07-05 12:00:00,Sunday,40,17,23
2015-07-05 13:00:00,Sunday,62,37,25
2015-07-05 14:00:00,Sunday,57,30,27
2015-07-05 15:00:00,Sunday,48,27,21
2015-07-05 16:00:00,Sunday,49,27,22
2015-07-05 17:00:00,Sunday,57,31,26
2015-07-05 18:00:00,Sunday,52,34,18
2015-07-05 19:00:00,Sunday,41,26,15
2015-07-05 20:00:00,Sunday,29,23,6
2015-07-05 21:00:00,Sunday,35,32,3
2015-07-05 22:00:00,Sunday,15,14,1
2015-07-05 23:00:00,Sunday,16,8,8
2015-07-06 00:00:00,Monday,4,3,1
2015-07-06 01:00:00,Monday,2,1,1
2015-07-06 02:00:00,Monday,0,0,0
2015-07-06 03:00:00,Monday,0,0,0
2015-07-06 04:00:00,Monday,1,0,1
2015-07-06 05:00:00,Monday,5,1,4
2015-07-06 06:00:00,Monday,37,6,31
2015-07-06 07:00:00,Monday,136,18,118
2015-07-06 08:00:00,Monday,298,48,250
2015-07-06 09:00:00,Monday,176,25,151
2015-07-06 10:00:00,Monday,69,21,48
2015-07-06 11:00:00,Monday,48,14,34
2015-07-06 12:00:00,Monday,46,25,21
2015-07-06 13:00:00,Monday,49,23,26
2015-07-06 14:00:00,Monday,63,35,28
2015-07-06 15:00:00,Monday,51,35,16
2015-07-06 16:00:00,Monday,125,93,32
2015-07-06 17:00:00,Monday,280,245,35
2015-07-06 18:00:00,Monday,222,191,31
2015-07-06 19:00:00,Monday,112,95,17
2015-07-06 20:00:00,Monday,66,53,13
2015-07-06 21:00:00,Monday,57,48,9
2015-07-06 22:00:00,Monday,36,33,3
2015-07-06 23:00:00,Monday,17,16,1
2015-07-07 00:00:00,Tuesday,5,2,3
2015-07-07 01:00:00,Tuesday,4,4,0
2015-07-07 02:00:00,Tuesday,0,0,0
2015-07-07 03:00:00,Tuesday,0,0,0
2015-07-07 04:00:00,Tuesday,3,1,2
2015-07-07 05:00:00,Tuesday,8,0,8
2015-07-07 06:00:00,Tuesday,41,4,37
2015-07-07 07:00:00,Tuesday,139,27,112
2015-07-07 08:00:00,Tuesday,284,39,245
2015-07-07 09:00:00,Tuesday,215,36,179
2015-07-07 10:00:00,Tuesday,87,25,62
2015-07-07 11:00:00,Tuesday,62,31,31
2015-07-07 12:00:00,Tuesday,68,26,42
2015-07-07 13:00:00,Tuesday,47,25,22
2015-07-07 14:00:00,Tuesday,41,24,17
2015-07-07 15:00:00,Tuesday,69,46,23
2015-07-07 16:00:00,Tuesday,98,75,23
2015-07-07 17:00:00,Tuesday,302,265,37
2015-07-07 18:00:00,Tuesday,284,237,47
2015-07-07 19:00:00,Tuesday,131,102,29
2015-07-07 20:00:00,Tuesday,76,61,15
2015-07-07 21:00:00,Tuesday,74,58,16
2015-07-07 22:00:00,Tuesday,45,34,11
2015-07-07 23:00:00,Tuesday,23,18,5
2015-07-08 00:00:00,Wednesday,6,4,2
2015-07-08 01:00:00,Wednesday,2,1,1
2015-07-08 02:00:00,Wednesday,3,2,1
2015-07-08 03:00:00,Wednesday,1,1,0
2015-07-08 04:00:00,Wednesday,1,0,1
2015-07-08 05:00:00,Wednesday,7,1,6
2015-07-08 06:00:00,Wednesday,48,8,40
2015-07-08 07:00:00,Wednesday,152,26,126
2015-07-08 08:00:00,Wednesday,255,33,222
2015-07-08 09:00:00,Wednesday,157,28,129
2015-07-08 10:00:00,Wednesday,66,15,51
2015-07-08 11:00:00,Wednesday,42,17,25
2015-07-08 12:00:00,Wednesday,44,19,25
2015-07-08 13:00:00,Wednesday,43,20,23
2015-07-08 14:00:00,Wednesday,51,31,20
2015-07-08 15:00:00,Wednesday,55,40,15
2015-07-08 16:00:00,Wednesday,99,77,22
2015-07-08 17:00:00,Wednesday,257,213,44
2015-07-08 18:00:00,Wednesday,199,167,32
2015-07-08 19:00:00,Wednesday,158,121,37
2015-07-08 20:00:00,Wednesday,85,64,21
2015-07-08 21:00:00,Wednesday,57,44,13
2015-07-08 22:00:00,Wednesday,35,26,9
2015-07-08 23:00:00,Wednesday,32,26,6
2015-07-09 00:00:00,Thursday,10,8,2
2015-07-09 01:00:00,Thursday,2,1,1
2015-07-09 02:00:00,Thursday,6,5,1
2015-07-09 03:00:00,Thursday,2,2,0
2015-07-09 04:00:00,Thursday,5,3,2
2015-07-09 05:00:00,Thursday,10,3,7
2015-07-09 06:00:00,Thursday,42,5,37
2015-07-09 07:00:00,Thursday,148,26,122
2015-07-09 08:00:00,Thursday,302,37,265
2015-07-09 09:00:00,Thursday,208,34,174
2015-07-09 10:00:00,Thursday,105,35,70
2015-07-09 11:00:00,Thursday,52,22,30
2015-07-09 12:00:00,Thursday,77,33,44
2015-07-09 13:00:00,Thursday,54,32,22
2015-07-09 14:00:00,Thursday,61,42,19
2015-07-09 15:00:00,Thursday,83,58,25
2015-07-09 16:00:00,Thursday,102,82,20
2015-07-09 17:00:00,Thursday,272,218,54
2015-07-09 18:00:00,Thursday,241,200,41
2015-07-09 19:00:00,Thursday,137,117,20
2015-07-09 20:00:00,Thursday,82,68,14
2015-07-09 21:00:00,Thursday,47,37,10
2015-07-09 22:00:00,Thursday,35,27,8
2015-07-09 23:00:00,Thursday,18,14,4
2015-07-10 00:00:00,Friday,7,6,1
2015-07-10 01:00:00,Friday,1,1,0
2015-07-10 02:00:00,Friday,1,1,0
2015-07-10 03:00:00,Friday,0,0,0
2015-07-10 04:00:00,Friday,2,1,1
2015-07-10 05:00:00,Friday,6,2,4
2015-07-10 06:00:00,Friday,26,4,22
2015-07-10 07:00:00,Friday,86,19,67
2015-07-10 08:00:00,Friday,256,34,222
2015-07-10 09:00:00,Friday,172,30,142
2015-07-10 10:00:00,Friday,70,18,52
2015-07-10 11:00:00,Friday,56,24,32
2015-07-10 12:00:00,Friday,62,32,30
2015-07-10 13:00:00,Friday,56,31,25
2015-07-10 14:00:00,Friday,55,35,20
2015-07-10 15:00:00,Friday,70,50,20
2015-07-10 16:00:00,Friday,113,95,18
2015-07-10 17:00:00,Friday,222,183,39
2015-07-10 18:00:00,Friday,178,134,44
2015-07-10 19:00:00,Friday,102,67,35
2015-07-10 20:00:00,Friday,79,51,28
2015-07-10 21:00:00,Friday,46,36,10
2015-07-10 22:00:00,Friday,132,122,10
2015-07-10 23:00:00,Friday,49,42,7
2015-07-11 00:00:00,Saturday,27,19,8
2015-07-11 01:00:00,Saturday,18,9,9
2015-07-11 02:00:00,Saturday,8,7,1
2015-07-11 03:00:00,Saturday,4,4,0
2015-07-11 04:00:00,Saturday,4,4,0
2015-07-11 05:00:00,Saturday,2,0,2
2015-07-11 06:00:00,Saturday,9,2,7
2015-07-11 07:00:00,Saturday,17,6,11
2015-07-11 08:00:00,Saturday,28,7,21
2015-07-11 09:00:00,Saturday,29,12,17
2015-07-11 10:00:00,Saturday,46,14,32
2015-07-11 11:00:00,Saturday,54,16,38
2015-07-11 12:00:00,Saturday,54,28,26
2015-07-11 13:00:00,Saturday,62,24,38
2015-07-11 14:00:00,Saturday,50,26,24
2015-07-11 15:00:00,Saturday,46,26,20
2015-07-11 16:00:00,Saturday,59,36,23
2015-07-11 17:00:00,Saturday,45,23,22
2015-07-11 18:00:00,Saturday,58,41,17
2015-07-11 19:00:00,Saturday,52,32,20
2015-07-11 20:00:00,Saturday,35,21,14
2015-07-11 21:00:00,Saturday,31,26,5
2015-07-11 22:00:00,Saturday,31,26,5
2015-07-11 23:00:00,Saturday,45,39,6
2015-07-12 00:00:00,Sunday,18,12,6
2015-07-12 01:00:00,Sunday,9,6,3
2015-07-12 02:00:00,Sunday,4,4,0
2015-07-12 03:00:00,Sunday,1,0,1
2015-07-12 04:00:00,Sunday,2,2,0
2015-07-12 05:00:00,Sunday,2,0,2
2015-07-12 06:00:00,Sunday,4,1,3
2015-07-12 07:00:00,Sunday,8,3,5
2015-07-12 08:00:00,Sunday,22,8,14
2015-07-12 09:00:00,Sunday,38,9,29
2015-07-12 10:00:00,Sunday,32,12,20
2015-07-12 11:00:00,Sunday,39,24,15
2015-07-12 12:00:00,Sunday,50,20,30
2015-07-12 13:00:00,Sunday,33,15,18
2015-07-12 14:00:00,Sunday,46,20,26
2015-07-12 15:00:00,Sunday,52,26,26
2015-07-12 16:00:00,Sunday,59,40,19
2015-07-12 17:00:00,Sunday,61,36,25
2015-07-12 18:00:00,Sunday,60,39,21
2015-07-12 19:00:00,Sunday,54,36,18
2015-07-12 20:00:00,Sunday,27,21,6
2015-07-12 21:00:00,Sunday,21,15,6
2015-07-12 22:00:00,Sunday,20,14,6
2015-07-12 23:00:00,Sunday,8,7,1
2015-07-13 00:00:00,Monday,12,8,4
2015-07-13 01:00:00,Monday,1,1,0
2015-07-13 02:00:00,Monday,1,1,0
2015-07-13 03:00:00,Monday,0,0,0
2015-07-13 04:00:00,Monday,0,0,0
2015-07-13 05:00:00,Monday,8,1,7
2015-07-13 06:00:00,Monday,48,7,41
2015-07-13 07:00:00,Monday,138,23,115
2015-07-13 08:00:00,Monday,321,39,282
2015-07-13 09:00:00,Monday,205,34,171
2015-07-13 10:00:00,Monday,66,20,46
2015-07-13 11:00:00,Monday,48,12,36
2015-07-13 12:00:00,Monday,58,34,24
2015-07-13 13:00:00,Monday,59,31,28
2015-07-13 14:00:00,Monday,51,31,20
2015-07-13 15:00:00,Monday,60,43,17
2015-07-13 16:00:00,Monday,122,89,33
2015-07-13 17:00:00,Monday,297,254,43
2015-07-13 18:00:00,Monday,268,231,37
2015-07-13 19:00:00,Monday,138,114,24
2015-07-13 20:00:00,Monday,83,64,19
2015-07-13 21:00:00,Monday,45,33,12
2015-07-13 22:00:00,Monday,27,19,8
2015-07-13 23:00:00,Monday,27,21,6
2015-07-14 00:00:00,Tuesday,7,3,4
2015-07-14 01:00:00,Tuesday,6,6,0
2015-07-14 02:00:00,Tuesday,1,0,1
2015-07-14 03:00:00,Tuesday,2,2,0
2015-07-14 04:00:00,Tuesday,2,0,2
2015-07-14 05:00:00,Tuesday,7,2,5
2015-07-14 06:00:00,Tuesday,37,9,28
2015-07-14 07:00:00,Tuesday,138,24,114
2015-07-14 08:00:00,Tuesday,293,43,250
2015-07-14 09:00:00,Tuesday,192,30,162
2015-07-14 10:00:00,Tuesday,100,27,73
2015-07-14 11:00:00,Tuesday,43,20,23
2015-07-14 12:00:00,Tuesday,67,31,36
2015-07-14 13:00:00,Tuesday,55,30,25
2015-07-14 14:00:00,Tuesday,46,24,22
2015-07-14 15:00:00,Tuesday,64,50,14
2015-07-14 16:00:00,Tuesday,118,88,30
2015-07-14 17:00:00,Tuesday,302,247,55
2015-07-14 18:00:00,Tuesday,254,215,39
2015-07-14 19:00:00,Tuesday,155,131,24
2015-07-14 20:00:00,Tuesday,81,72,9
2015-07-14 21:00:00,Tuesday,55,39,16
2015-07-14 22:00:00,Tuesday,39,28,11
2015-07-14 23:00:00,Tuesday,25,21,4
2015-07-15 00:00:00,Wednesday,13,12,1
2015-07-15 01:00:00,Wednesday,9,8,1
2015-07-15 02:00:00,Wednesday,6,6,0
2015-07-15 03:00:00,Wednesday,3,1,2
2015-07-15 04:00:00,Wednesday,1,1,0
2015-07-15 05:00:00,Wednesday,5,1,4
2015-07-15 06:00:00,Wednesday,45,4,41
2015-07-15 07:00:00,Wednesday,123,21,102
2015-07-15 08:00:00,Wednesday,269,45,224
2015-07-15 09:00:00,Wednesday,195,33,162
2015-07-15 10:00:00,Wednesday,76,24,52
2015-07-15 11:00:00,Wednesday,54,20,34
2015-07-15 12:00:00,Wednesday,54,32,22
2015-07-15 13:00:00,Wednesday,53,22,31
2015-07-15 14:00:00,Wednesday,52,30,22
2015-07-15 15:00:00,Wednesday,48,35,13
2015-07-15 16:00:00,Wednesday,122,95,27
2015-07-15 17:00:00,Wednesday,249,215,34
2015-07-15 18:00:00,Wednesday,237,200,37
2015-07-15 19:00:00,Wednesday,131,116,15
2015-07-15 20:00:00,Wednesday,65,53,12
2015-07-15 21:00:00,Wednesday,45,37,8
2015-07-15 22:00:00,Wednesday,28,21,7
2015-07-15 23:00:00,Wednesday,21,16,5
2015-07-16 00:00:00,Thursday,11,9,2
2015-07-16 01:00:00,Thursday,2,2,0
2015-07-16 02:00:00,Thursday,1,1,0
2015-07-16 03:00:00,Thursday,0,0,0
2015-07-16 04:00:00,Thursday,4,3,1
2015-07-16 05:00:00,Thursday,9,0,9
2015-07-16 06:00:00,Thursday,43,4,39
2015-07-16 07:00:00,Thursday,143,29,114
2015-07-16 08:00:00,Thursday,293,38,255
2015-07-16 09:00:00,Thursday,169,36,133
2015-07-16 10:00:00,Thursday,91,28,63
2015-07-16 11:00:00,Thursday,58,27,31
2015-07-16 12:00:00,Thursday,66,28,38
2015-07-16 13:00:00,Thursday,67,36,31
2015-07-16 14:00:00,Thursday,61,30,31
2015-07-16 15:00:00,Thursday,70,45,25
2015-07-16 16:00:00,Thursday,143,107,36
2015-07-16 17:00:00,Thursday,277,228,49
2015-07-16 18:00:00,Thursday,251,198,53
2015-07-16 19:00:00,Thursday,146,113,33
2015-07-16 20:00:00,Thursday,113,94,19
2015-07-16 21:00:00,Thursday,71,57,14
2015-07-16 22:00:00,Thursday,36,33,3
2015-07-16 23:00:00,Thursday,30,27,3
2015-07-17 00:00:00,Friday,10,8,2
2015-07-17 01:00:00,Friday,6,5,1
2015-07-17 02:00:00,Friday,2,1,1
2015-07-17 03:00:00,Friday,0,0,0
2015-07-17 04:00:00,Friday,2,2,0
2015-07-17 05:00:00,Friday,6,1,5
2015-07-17 06:00:00,Friday,40,6,34
2015-07-17 07:00:00,Friday,129,20,109
2015-07-17 08:00:00,Friday,273,50,223
2015-07-17 09:00:00,Friday,154,32,122
2015-07-17 10:00:00,Friday,96,30,66
2015-07-17 11:00:00,Friday,41,16,25
2015-07-17 12:00:00,Friday,75,32,43
2015-07-17 13:00:00,Friday,62,32,30
2015-07-17 14:00:00,Friday,61,41,20
2015-07-17 15:00:00,Friday,98,74,24
2015-07-17 16:00:00,Friday,133,101,32
2015-07-17 17:00:00,Friday,251,208,43
2015-07-17 18:00:00,Friday,189,144,45
2015-07-17 19:00:00,Friday,120,94,26
2015-07-17 20:00:00,Friday,64,47,17
2015-07-17 21:00:00,Friday,29,22,7
2015-07-17 22:00:00,Friday,43,36,7
2015-07-17 23:00:00,Friday,31,23,8
2015-07-18 00:00:00,Saturday,20,18,2
2015-07-18 01:00:00,Saturday,8,7,1
2015-07-18 02:00:00,Saturday,3,3,0
2015-07-18 03:00:00,Saturday,3,2,1
2015-07-18 04:00:00,Saturday,2,2,0
