Time,TemperatureF,Humidity,Events
29-Sep-2015,75,79,Rain
30-Sep-2015,68,89,Rain
01-Oct-2015,57,72,Rain
02-Oct-2015,52,73,Rain
03-Oct-2015,52,72,Rain
04-Oct-2015,54,66,None
05-Oct-2015,55,80,None
06-Oct-2015,56,71,None
07-Oct-2015,62,61,None
08-Oct-2015,57,61,None
09-Oct-2015,62,75,Rain
10-Oct-2015,55,53,None
11-Oct-2015,58,63,None
12-Oct-2015,64,65,None
13-Oct-2015,64,84,Rain
14-Oct-2015,60,65,None
15-Oct-2015,55,55,None
16-Oct-2015,56,57,Rain
17-Oct-2015,48,58,None
18-Oct-2015,40,46,None
19-Oct-2015,40,48,None
20-Oct-2015,56,51,None
21-Oct-2015,57,76,Rain
22-Oct-2015,63,71,Fog
23-Oct-2015,50,49,None
24-Oct-2015,44,71,None
25-Oct-2015,56,72,Rain
26-Oct-2015,48,57,None
27-Oct-2015,46,62,None
28-Oct-2015,54,83,Rain
29-Oct-2015,66,65,Rain
30-Oct-2015,52,41,None
31-Oct-2015,45,58,None
01-Nov-2015,55,73,Rain
02-Nov-2015,58,63,None
03-Nov-2015,60,57,None
04-Nov-2015,55,69,None
05-Nov-2015,63,77,None
06-Nov-2015,68,79,None
07-Nov-2015,60,48,None
08-Nov-2015,50,48,None
09-Nov-2015,51,52,None
10-Nov-2015,49,67,Rain
11-Nov-2015,48,90,Rain
12-Nov-2015,52,90,Rain
13-Nov-2015,53,65,Rain
14-Nov-2015,42,51,None
15-Nov-2015,46,54,None
16-Nov-2015,50,42,None
17-Nov-2015,39,62,None
18-Nov-2015,40,69,None
19-Nov-2015,49,83,Rain
20-Nov-2015,53,69,Rain
21-Nov-2015,43,60,None
22-Nov-2015,43,80,Rain
23-Nov-2015,36,56,Rain
24-Nov-2015,37,42,None
25-Nov-2015,37,63,None
26-Nov-2015,49,79,None
27-Nov-2015,56,78,None
28-Nov-2015,51,80,Rain
29-Nov-2015,38,58,None
30-Nov-2015,33,65,None
01-Dec-2015,39,83,Rain
02-Dec-2015,45,95,Rain
03-Dec-2015,47,75,Rain
04-Dec-2015,43,58,None
05-Dec-2015,46,65,None
06-Dec-2015,48,61,None
07-Dec-2015,47,60,None
08-Dec-2015,41,72,Rain
09-Dec-2015,42,71,None
10-Dec-2015,51,84,None
11-Dec-2015,51,86,Fog
12-Dec-2015,55,60,None
13-Dec-2015,50,73,None
14-Dec-2015,52,88,Rain
15-Dec-2015,55,74,Rain
16-Dec-2015,43,70,None
17-Dec-2015,46,87,Rain
18-Dec-2015,46,80,Rain
19-Dec-2015,37,48,None
20-Dec-2015,36,50,None
21-Dec-2015,43,60,None
22-Dec-2015,54,86,Rain
23-Dec-2015,51,89,Rain
24-Dec-2015,59,87,Rain
25-Dec-2015,56,76,None
26-Dec-2015,48,60,None
27-Dec-2015,44,87,Rain
28-Dec-2015,34,56,Snow
29-Dec-2015,32,93,Rain-Snow
30-Dec-2015,31,92,Rain
31-Dec-2015,40,78,Rain
01-Jan-2016,37,58,None
02-Jan-2016,36,51,None
03-Jan-2016,38,56,None
04-Jan-2016,25,61,Snow
05-Jan-2016,17,43,None
06-Jan-2016,33,29,None
07-Jan-2016,35,47,None
08-Jan-2016,36,78,None
09-Jan-2016,40,84,Rain
10-Jan-2016,48,92,Rain
11-Jan-2016,38,51,None
12-Jan-2016,29,68,Rain-Snow
13-Jan-2016,27,56,None
14-Jan-2016,26,61,Snow
15-Jan-2016,34,72,None
16-Jan-2016,39,90,Rain
17-Jan-2016,34,72,Snow
18-Jan-2016,24,64,Snow
19-Jan-2016,21,47,None
20-Jan-2016,26,45,None
21-Jan-2016,27,44,None
22-Jan-2016,26,42,None
23-Jan-2016,26,75,Snow
24-Jan-2016,27,52,Snow
25-Jan-2016,31,57,None
26-Jan-2016,40,74,None
27-Jan-2016,38,55,None
28-Jan-2016,34,62,None
29-Jan-2016,37,76,None
30-Jan-2016,37,54,None
31-Jan-2016,48,54,None
01-Feb-2016,52,60,None
02-Feb-2016,43,51,None
03-Feb-2016,46,82,Rain
04-Feb-2016,50,64,Rain
05-Feb-2016,34,81,Snow
06-Feb-2016,30,66,None
07-Feb-2016,37,59,None
08-Feb-2016,28,75,Snow
09-Feb-2016,25,74,Snow
10-Feb-2016,28,82,Snow
11-Feb-2016,21,55,Snow
12-Feb-2016,16,48,None
13-Feb-2016,10,45,None
14-Feb-2016,2,40,Fog
15-Feb-2016,20,61,Rain-Snow
16-Feb-2016,43,93,Rain
17-Feb-2016,40,61,None
18-Feb-2016,30,49,None
19-Feb-2016,29,57,Snow
20-Feb-2016,47,63,Rain
21-Feb-2016,48,50,None
22-Feb-2016,37,54,None
23-Feb-2016,33,56,Rain-Snow
24-Feb-2016,48,93,Rain
25-Feb-2016,52,80,Thunderstorm
26-Feb-2016,34,48,None
27-Feb-2016,30,41,None
28-Feb-2016,47,48,None
29-Feb-2016,54,55,None
01-Mar-2016,42,46,None
02-Mar-2016,39,67,Rain
03-Mar-2016,28,36,None
04-Mar-2016,29,61,Snow
05-Mar-2016,29,57,None
06-Mar-2016,36,44,None
07-Mar-2016,41,57,None
08-Mar-2016,42,66,None
09-Mar-2016,59,60,None
10-Mar-2016,57,65,Rain
11-Mar-2016,46,73,Rain
12-Mar-2016,48,49,None
13-Mar-2016,54,38,None
14-Mar-2016,42,78,Rain
15-Mar-2016,43,95,Rain
16-Mar-2016,45,90,Rain
17-Mar-2016,54,65,Rain
18-Mar-2016,44,53,Rain
19-Mar-2016,37,33,None
20-Mar-2016,31,52,Snow
21-Mar-2016,36,60,Snow
22-Mar-2016,41,46,None
23-Mar-2016,53,58,Rain
24-Mar-2016,40,76,None
25-Mar-2016,42,88,Rain
26-Mar-2016,39,71,None
27-Mar-2016,38,75,None
28-Mar-2016,43,86,Rain
29-Mar-2016,45,50,None
30-Mar-2016,47,39,None
31-Mar-2016,57,59,None
01-Apr-2016,64,71,Rain
02-Apr-2016,51,68,Rain
03-Apr-2016,36,59,Snow
04-Apr-2016,27,63,Snow
05-Apr-2016,30,50,None
06-Apr-2016,34,51,None
07-Apr-2016,50,84,Rain
08-Apr-2016,45,66,Rain
09-Apr-2016,39,55,None
10-Apr-2016,40,35,None
11-Apr-2016,51,55,Rain
12-Apr-2016,52,68,Rain
13-Apr-2016,44,53,None
14-Apr-2016,44,52,None
15-Apr-2016,46,40,None
16-Apr-2016,48,52,None
17-Apr-2016,47,53,None
18-Apr-2016,55,49,None
19-Apr-2016,49,61,Rain
20-Apr-2016,48,44,None
21-Apr-2016,60,40,None
22-Apr-2016,68,64,Rain
23-Apr-2016,56,59,Rain
24-Apr-2016,46,46,None
25-Apr-2016,51,56,None
26-Apr-2016,44,70,Rain
27-Apr-2016,50,54,None
28-Apr-2016,48,41,None
29-Apr-2016,47,63,None
30-Apr-2016,48,59,None
01-May-2016,48,67,Rain
02-May-2016,47,93,Rain
03-May-2016,47,88,Rain
04-May-2016,47,84,Rain
05-May-2016,46,89,Rain
06-May-2016,50,82,Rain
07-May-2016,49,93,None
08-May-2016,55,65,Rain
09-May-2016,56,41,None
10-May-2016,59,36,None
11-May-2016,61,44,None
12-May-2016,60,43,None
13-May-2016,63,75,Rain
14-May-2016,68,59,Rain
15-May-2016,53,54,None
16-May-2016,51,38,None
17-May-2016,60,41,None
18-May-2016,54,55,None
19-May-2016,55,66,Rain
20-May-2016,61,60,None
21-May-2016,65,50,None
22-May-2016,57,79,Rain
23-May-2016,62,67,None
24-May-2016,56,83,Rain
25-May-2016,71,57,None
26-May-2016,69,67,None
27-May-2016,66,78,None
28-May-2016,80,57,None
29-May-2016,65,81,None
30-May-2016,64,87,Rain
31-May-2016,78,58,None
01-Jun-2016,65,65,None
02-Jun-2016,59,87,None
03-Jun-2016,64,83,None
04-Jun-2016,66,83,Fog
05-Jun-2016,64,94,Rain
06-Jun-2016,75,64,None
07-Jun-2016,75,58,Thunderstorm
08-Jun-2016,66,57,None
09-Jun-2016,62,52,None
10-Jun-2016,64,59,None
11-Jun-2016,61,69,Rain
12-Jun-2016,68,63,None
13-Jun-2016,64,56,None
14-Jun-2016,67,47,None
15-Jun-2016,76,42,None
16-Jun-2016,69,60,None
17-Jun-2016,67,58,Thunderstorm
18-Jun-2016,66,69,None
19-Jun-2016,70,67,None
20-Jun-2016,72,68,None
21-Jun-2016,76,54,Thunderstorm
22-Jun-2016,71,44,Rain
23-Jun-2016,69,60,None
24-Jun-2016,67,63,None
25-Jun-2016,66,64,None
26-Jun-2016,72,57,None
27-Jun-2016,75,55,None
28-Jun-2016,74,71,Rain
29-Jun-2016,77,72,Thunderstorm
30-Jun-2016,75,55,None
01-Jul-2016,77,65,Thunderstorm
02-Jul-2016,73,59,None
03-Jul-2016,74,43,None
04-Jul-2016,77,46,None
05-Jul-2016,70,77,Rain
06-Jul-2016,83,63,None
07-Jul-2016,70,81,Fog
08-Jul-2016,64,87,Rain
09-Jul-2016,62,83,Rain
10-Jul-2016,62,91,Rain
11-Jul-2016,66,74,None
12-Jul-2016,77,54,None
13-Jul-2016,79,63,None
14-Jul-2016,78,72,Rain
15-Jul-2016,84,61,None
16-Jul-2016,85,47,None
17-Jul-2016,74,79,None
